"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","break_id","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","task","success","rt","stimulus","response","timeout","failed_images","failed_audio","failed_video","slider_start","character","label_condition","question_order"
"","image-slider-response-modified","378","3931306","0.0-378.0","60588","DH-016","19:26:19","","","","","","","","","","","","assessment 6","","239","components/portraits/StimImgSylviaSteinetz.PNG","0","","","","","0","Sylvia Steinetz","A",""
"","image-slider-response-modified","379","3931866","0.0-379.0","60588","DH-016","19:26:19","","","","","","","","","","","","assessment 7","","556","components/portraits/StimImgGraceFraser.PNG","90","","","","","90","Grace Fraser","A",""
"","html-keyboard-response","380","3932869","0.0-380.0","60588","DH-016","19:26:20","","","","","","","","","","","","","","null","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">Returning to the video...""]","null","","","","","","","",""
"","browser-check","381","3933878","0.0-381.0","60588","DH-016","19:26:21","1440","900","true","chrome","130.0.0","false","Mac OS","true","59.58","true","true","Browser_Check","","","","","","","","","","","",""
"","video-keyboard-response","382","4003353","0.0-382.0","60588","DH-016","19:27:31","","","","","","","","","","","","video32","","null","[""components/stim/StimVid_Undoing2.mp4""]","null","","","","","","","",""
"","image-slider-response-modified","383","4008121","0.0-383.0","60588","DH-016","19:27:36","","","","","","","","","","","","assessment 0","","4765","components/portraits/StimImgElenaAlves.PNG","80","","","","","80","Elena Alves","A",""
"","image-slider-response-modified","384","4008278","0.0-384.0","60588","DH-016","19:27:36","","","","","","","","","","","","assessment 1","","153","components/portraits/StimImgFranklinReinhardt.PNG","0","","","","","0","Franklin Reinhardt","A",""
"","image-slider-response-modified","385","4008471","0.0-385.0","60588","DH-016","19:27:36","","","","","","","","","","","","assessment 2","","189","components/portraits/StimImgHenryFraser.PNG","100","","","","","100","Henry Fraser","A",""
"","image-slider-response-modified","386","4008975","0.0-386.0","60588","DH-016","19:27:36","","","","","","","","","","","","assessment 3","","499","components/portraits/StimImgJonathanFraser.PNG","67","","","","","67","Jonathan Fraser","A",""
"","image-slider-response-modified","387","4009267","0.0-387.0","60588","DH-016","19:27:37","","","","","","","","","","","","assessment 4","","288","components/portraits/StimImgMiguelAlves.PNG","0","","","","","0","Miguel Alves","A",""
"","image-slider-response-modified","388","4009454","0.0-388.0","60588","DH-016","19:27:37","","","","","","","","","","","","assessment 5","","183","components/portraits/StimImgFernandoAlves.PNG","0","","","","","0","Fernando Alves","A",""
"","image-slider-response-modified","389","4009609","0.0-389.0","60588","DH-016","19:27:37","","","","","","","","","","","","assessment 6","","151","components/portraits/StimImgSylviaSteinetz.PNG","0","","","","","0","Sylvia Steinetz","A",""
"","image-slider-response-modified","390","4009765","0.0-390.0","60588","DH-016","19:27:37","","","","","","","","","","","","assessment 7","","151","components/portraits/StimImgGraceFraser.PNG","90","","","","","90","Grace Fraser","A",""
"","html-keyboard-response","391","4010768","0.0-391.0","60588","DH-016","19:27:38","","","","","","","","","","","","","","null","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">Returning to the video...""]","null","","","","","","","",""
